Plant Name,Family,Common Name,Uses,Image File
Polygonum hydropiper L.,POLYGONACEAE,Pani-mari,"The plant is having stimulant, diuretic, styptic, emmenagogue, and lithontriptic properties. From the herb  a liquid extract is made which is used as n oral contraceptive; the infusion of the plant is employed in uterine disorders and as a hemostatic. The roots of the plant is used as  stimulant, diuretic, carminative, tonic, and anthelmintic. For skin infections the juice is used. Crushed leaves and seeds used as a vesicant like mustard poultice.",Polygonum_hydropiper_L..jpg
Polygonum molle D.Don,POLYGONACEAE,Kochomah (Assam),"The whole plant body is used as astringent, used in diarrhoea.",Polygonum_molle_D.Don.jpg
Polygonum nepalense Meissn.,POLYGONACEAE,Kangany-machan-pillu (Tam.),Leaves are applied to get relief from swellings.,Polygonum_nepalense_Meissn..jpg
Polygonum orientale L.,POLYGONACEAE,"Machoti, Bara pani mirich (Beng.)",Plant prescribed as a tonic and use in the healing of wounds.. Nuts used in treatment of tubercular swellings and flatulence.,Polygonum_orientale_L..jpg
Polygonum persicaria L.,POLYGONACEAE,Lady's Thumb (Eng.),"The plant is used as anthelmintic, carminative and diuretic.",Polygonum_persicaria_L..jpg
Polygonum plebeium R.Br.,POLYGONACEAE,"Chemti sag, Dubia sag (Beng.)",The plant is prescribed in bowel complaints and pneumonia.,Polygonum_plebeium_R.Br..jpg
Polygonum polystachyum Wall. ex Meissn.,POLYGONACEAE,Amldandi (Punjab),A pickle is produced from the plant. No medicinal use has been found in the available literature.,Polygonum_polystachyum_Wall._ex_Meissn..jpg
Polygonum tenellum Blume,POLYGONACEAE,Pygmy Smartweed (Eng.),The leaves decoction is used for indigestion and after parturition.,Polygonum_tenellum_Blume.jpg
Polygonum virginianum L.,POLYGONACEAE,Jumpseed (Eng.),"Plants extract have astringent, diuretic, demulcent, vulnerary, and antispasmodic, antibacterial properties",Polygonum_virginianum_L..jpg
Polygonum viviparum L.,POLYGONACEAE,"Maslun, Mameche (Punjab)","Root stacks are used to make  tonic which is useful as astringent and used to cure dysentery, diarrhoea
and hemoptysis. Decoction prepered from the herb is used as a gargle and as for treatment of ulcers.",Polygonum_viviparum_L..jpg
Polypodium vulgare L.,POLYPODIACEAE,Basfaij (Ind. Baz.),The plant is having aperient properties.,Polypodium_vulgare_L..jpg
Polyscias fruticosa (L.) Harms,ARALIACEAE,Ming Aralia (Chinese),"Leaves and roots diuretic; their decoction given in dysuria and treatment of stone and gravel. Powdered leaves are mixed with salt and used as a
vulnerary.",Polyscias_fruticosa_L._Harms.jpg
Populus alba L.,SALICACEAE,Fras (Kashmir),"Bark is tonic, diuretic,antipyretic and used as substitute for quinine. 
It is used in stranguary and skin troubles. It is used in treating intermittent fevers, rheumatism, coryza, neuralgia.",Populus_alba_L..jpg
Populus euphratica Oliv.,SALICACEAE,"Hotung, Hodung (Ladakh)",Bark is vermifuge.,Populus_euphratica_Oliv..jpg
Portulaca oleracea L.,PORTULACACEAE,"Khursa, Baralaniya","Herb refrigerant, vulnerary, antiscorbutic, aperient, and diuretic. applied in scurvy; used in diseases of liver, spleen, kidney and bladder. It is also used in
cardio-vascular diseases, dysuria, haematuria, in dysentery, sore nipples, and ulceration of the mouth. In homoeopathy the herb is used to stimulate gastric secretion. Roasted seeds considered diuretic and antidysenteric; also applied in applications for burns and scalds.",Portulaca_oleracea_L..jpg
Portulaca pilosa L.,PORTULACACEAE,Koli mulaiyan (Tamil),"Used as Febrifuge, aperient, and diuretic.",Portulaca_pilosa_L..jpg
Portulaca quadrifida L.,PORTULACACEAE,"Chounlayi, Chotalunia","Applied in asthma, coughs, urinary discharges, inflammations and ulcers.",Portulaca_quadrifida_L..jpg
Potentilla anserina L.,ROSACEAE,Silver weed (Eng.),"Used in treatment of kidney stones, arthritis, diarrhoea, leucorrhoea, and menstrual cramps.",Potentilla_anserina_L..jpg
Potentilla arbuscula D.Don,ROSACEAE,Merino (Punjab),It has astringent and antispasmodic properties.,Potentilla_arbuscula_D.Don.jpg
Potentilla lineata Trevir ex Reich.,ROSACEAE,Bhuitara (Beng.),Roots are used in treatment of diarhhoea.,Potentilla_lineata_Trevir_ex_Reich..jpg
Potentilla nepalensis Hook.,ROSACEAE,Rattanjot (Punjab),Root stock applied in case of burns and boils.,Potentilla_nepalensis_Hook..jpg
Potentilla reptans L.,ROSACEAE,Five-finger grass (Eng.),"It has astringent, hemostatic, and febrifugic properties and also used in treatment of diarrhoea.",Potentilla_reptans_L..jpg
Potentilla sundaica (Blume) Kuntze,ROSACEAE,Tilipalang (Nepali),It has astringent properties and fresh leaves are applied to abscesses.,Potentilla_sundaica_Blume_Kuntze.jpg
Potentilla supina L.,ROSACEAE,"Karnali, Kanikar (Guj.)","Roots have astringent, tonic and febrifugic properties.",Potentilla_supina_L..jpg
Pothos cathcartii Schott,ARACEAE,Hathi Denkiya,Leaves mixed with ghee used for body pains.,Pothos_cathcartii_Schott.jpg
Pothos scandens L.,ARACEAE,"Parisa, Paruvakodi (Mal.)",Stems are mixed with camphor and smoked for relief in asthma. Powered leaves applied to smallpox pustules.,Pothos_scandens_L..jpg
Pouzolzia sanguinea (Blume) Merr.,URTICACEAE,Misagi-jollaphang (Assam),"Plants used to prepare a medicine used in fever in Assam. Whole plants are used in eatching, mediciens prepared from stems applied in wounds.",Pouzolzia_sanguinea_Blume_Merr..jpg
Pouzolzia zeylanica (L.) Benn.,URTICACEAE,"Piparisari, Eddu (Tel.)",Leaves are used as vulnerary and as  cicatrizant for gangrenous ulcers. Juice of the leaves and their decoction used as a galactagogue. Poultice of herb applied to sores and boils.,Pouzolzia_zeylanica_L._Benn..jpg
Prangos pabularia Lindl.,APIACEAE,Komal,"Roots are burnt as incense by the local people. They are used as diuretic and applied also in the treatment of itches. Infusion is  given for indigestion and irregularity of menses. Roots produces an essential oil and are a good source of coumarin compounds. Fruits used as a carminative, laxative, diuretic, stimulant, liver tonic and aphrodisiac. It is said to promote expulsion of foetus.",Prangos_pabularia_Lindl..jpg
Pratia nummularia (Lam.) A.Braun & Asch.,CAMPANULACEAE,Chaokathi (Lushai),"It is used for treatment of  dysentery and asthma; decoction is used  as  diaphoretic. Leaves are used 
for the treatment of sprue. Juice is used to coagulates blood and stops bleeding.",Pratia_nummularia_Lam._A.Braun_&_Asch..jpg
Premna corymbosa Rottler & Willd.,VERBENACEAE,"Agetha, Arni","Roots have laxative, stomachic, cordial, and tonic properties.Leaf decoction used in flatulence and colic.",Premna_corymbosa_Rottler_&_Willd..jpg
Premna divaricata Wall.,VERBENACEAE,Headache tree (Eng.),Leaves used for treating colds.,Premna_divaricata_Wall..jpg
Premna latifolia Roxb.,VERBENACEAE,Pedda-nelli koora (Tel.),Leaves have diuretic properties and is used in treating dropsy.,Premna_latifolia_Roxb..jpg
Premna tomentosa Willd.,VERBENACEAE,Chambara (Mar.),"Leaves have diuretic and vulnerary properties and is used in dropsy  and given after
parturition. Bark and root extract used in stomach pain and dysentry.",Premna_tomentosa_Willd..jpg
Primula reticulata Wall.,PRIMULACEAE,Bishkopra (Kumaun),"Plants are used externally as an anodyne, and may produce dermatitis in some individuals.",Primula_reticulata_Wall..jpg
Prinsepia utilis Royle,ROSACEAE,"Bekkra, Bhekal",Oil extracted from the plant is used in treatment of rheumatism and fatigue.,Prinsepia_utilis_Royle.jpg
Prosopis chilensis (Molana) Stuntze,MIMOSACEAE,"Vilayati kikkar, Kabuli kikkar",Spongy walls of ripe pods are highly nutritive; a fair source of digestible protein and of importance as a stock feed.,Prosopis_chilensis_Molana_Stuntze.jpg
Prosopis cineraria (L.) Druce,MIMOSACEAE,"Jand, Chaunkra","Flower use to prevent miscarriage. Pod astringent, pectoral, demulcent. Bark antiinflammatory, antirheumatic.",Prosopis_cineraria_L._Druce.jpg
Prunella vulgaris L.,LAMIACEAE,Dharu,It has Expectorant and antispasmodic properties.,Prunella_vulgaris_L..jpg
Prunus armeniaca L.,ROSACEAE,"Zardalu, Khubani",Oil extracted from seeds is utilised in pharmaceutical industry.,Prunus_armeniaca_L..jpg
Prunus avium L.,ROSACEAE,Gilas (Kumaun),Stems yield a non toxic extract used in cardiac problems.,Prunus_avium_L..jpg
Prunus cerasoides D.Don,ROSACEAE,"Paddam, Payan",Kernel yields a medicinal oil.,Prunus_cerasoides_D.Don.jpg
Prunus cerasus L.,ROSACEAE,Alubalu,"Bark extraxt used in relieving heart palpitation, diarrhoea and as a febrifuge.  Leaf infusion is used to cure convulsions in children.",Prunus_cerasus_L..jpg
Prunus ceylanica (Wight) Miq.,ROSACEAE,Galmorre (Beng.),Bark used in treating stomach ache.,Prunus_ceylanica_Wight_Miq..jpg
Prunus domestica L.,ROSACEAE,"Alu, Alucha, Shanalu, Alubukhara, Alucha","It has demulcent, laxative, and refrigerant properties, and used as a constituent of cathartic decoctions.",Prunus_domestica_L..jpg
Prunus dulcis (Mill.) D.A.Webb.,ROSACEAE,Badam,Kernels are used in treatment of peptic ulcers. Unripe fruits usually applied as an astringent in gums and mouth.,Prunus_dulcis_Mill._D.A.Webb..jpg
Prunus mahaleb L.,ROSACEAE,Mahaleb Cherry (Eng.),A medicinal oil is obtained from seeds.,Prunus_mahaleb_L..jpg
Prunus persica (L.) Batsch,ROSACEAE,"Aru, Shaftalu",Leaf and bark infusion is used for treatment of whooping cough and  flowers are anthelmintic.,Prunus_persica_L._Batsch.jpg
Prunus salicina Lindl.,ROSACEAE,Japanese plum (Eng.),Fruit extract used in treatment of arthiritis.,Prunus_salicina_Lindl..jpg
Prunus undulata Buch.-Ham. ex D.Don,ROSACEAE,"Aria, Gadharu",Leaf is used in medicines employed to kill maggots.,Prunus_undulata_Buch.-Ham._ex_D.Don.jpg
Psammogeton canescens (DC.) Vatke,APIACEAE,Gargira (Punjab),Plants are used as a stomachic,Psammogeton_canescens_DC._Vatke.jpg
Pseudarthria viscida (L.) Wight & Arn.,FABACEAE,"Sanaparni (Sans.), Chapakno velo (Guj.)","Root astringent, febrifuge,
antirheumatic. A decoction or
powder is used for biliousness
and diarrhoea.",Pseudarthria_viscida_L._Wight_&_Arn..jpg
Psidium guajava L.,MYRTACEAE,"Amrud, Safed safari","Leaves used as an astringent for bowel troubles and decoction of bark used in treatment of diarrhoea. Fruits tonic, cooling, and laxative properties useful in colic and bleeding gums.",Psidium_guajava_L..jpg
Psoralea corylifolia L.,FABACEAE,"Babachi, Babehibavanchi","Seed used in leucoderma,
vitiligo, leprosy, psoriasis and
inflammatory diseases of the skin, both orally and externally.",Psoralea_corylifolia_L..jpg
Pteridium aquilinum (L.) Kuhn.,DENNSTAEDTIACEAE,Parnai (Tam.),The decoction of fresh fronds are recommended for dysentery.  The juice of rhizomes is applied to the glandular swellings of the neck.,Pteridium_aquilinum_L._Kuhn..jpg
Pterocarpus indicus Willd.,FABACEAE,Vengai (Tam.),"Pounded leaves used as a sternutatory.Decoction given in dropsy and stone in the bladder. Bark yields a kino, applied to sores; also used for thrush and diarrhoea. Seeds emetic.",Pterocarpus_indicus_Willd..jpg
Pterocarpus marsupium Roxb.,FABACEAE,"Bijasal, Bija","Yields a kino used in diarrhoea and dysentery. Aqueous extract of wood given to diabetics. Aqueous infusion of wood used in diabetes and water stored
in vessels made of this wood is reputed for its antidiabetic qualities.",Pterocarpus_marsupium_Roxb..jpg
Pterocarpus santalinus L.f.,FABACEAE,"Raktachandan, Lalchandan","Wood use as tonic and diaphoretic, paste applied to inflammations and to forehead in headache. Decoction of fruits used in chronic dysentery.",Pterocarpus_santalinus_L.f..jpg
Pterocymbium javanicum R.Br.,STERCULIACEAE,Tshaw (Burma),The gm resembles tragacanth.,Pterocymbium_javanicum_R.Br..jpg
Pterospermum acerifolium (L.) Willd.,STERCULIACEAE,Kanakchampa,"Flowers useful for leprosy, inflammations, ulcers and tumours.",Pterospermum_acerifolium_L._Willd..jpg
Pterospermum suberifolium Lam.,STERCULIACEAE,"Moochukund, Tada (Tel.)","Flowers are useful in curing bronchites, throat complaints, skin disease, leprosy, headache, inflamations, sores, biliousness. A paste is made from the flower with rice water forms an application for hemicrania.",Pterospermum_suberifolium_Lam..jpg
Pterospermum xylocarpum (Gaertn.) Oken,STERCULIACEAE,Lolgu (Tel.),Leaves  used in leucorrhoea.,Pterospermum_xylocarpum_Gaertn._Oken.jpg
Pueraria phaseoloides (Roxb.) Benth.,FABACEAE,Jermei-kyn-saw (Assam),"The plant is used against ulcers
and boils.",Pueraria_phaseoloides_Roxb._Benth..jpg
Pueraria tuberosa (Roxb. ex Willd.) DC.,FABACEAE,"Sural, Bilaikand","Tuber use as diuretic, cardiac
tonic, galactagogue. Also used forfertility control. Root used as a demulcent, and refrigerant in fevers, as cataplasm for swelling of joints, as galactagogue.",Pueraria_tuberosa_Roxb._ex_Willd._DC..jpg
Pulicaria crispa (Forssk.) Benth.,ASTERACEAE,Burhna,Dried herb is  used as a vulnerary for bruises and sores. Decoction is used as  febrifuge.,Pulicaria_crispa_Forssk._Benth..jpg
Pulicaria dysenterica (L.) Gaeertn.,ASTERACEAE,Common fleabane (Eng.),It is astringent and diuretic. It is used in treatment of  diarrhoea and dysentery.,Pulicaria_dysenterica_L._Gaeertn..jpg
Punica granatum L.,PUNICACEAE,"Anar, Dalim (Beng.)","Fruit is used in cholera, dysentery, diarrhoea.",Punica_granatum_L..jpg
Quercus infectoria Oliv.,FAGACEAE,"Majuphal, Mazu","Bark has astringent properties, which is used in treatment ofintertrigo, impetigo, and eczema.",Quercus_infectoria_Oliv..jpg
Quercus lamellosa Sm.,FAGACEAE,Falant (Nepali),Bark extract used as an astringent.,Quercus_lamellosa_Sm..jpg
Quercus leucotrichophora A.Camus ex Bahadur,FAGACEAE,"Sila supari, Iri (Kashmir)",Acorns are used in treatment of gonorrhoea and diarhhoea.,Quercus_leucotrichophora_A.Camus_ex_Bahadur.jpg
Quercus pachyphylla Kurz,FAGACEAE,Badaa Katus (Nepali),Bark and acorns have astringent properties.,Quercus_pachyphylla_Kurz.jpg
Quisqualis indica L.,COMBRETACEAE,Rangoon ki bel,Fruits and seeds have anthelmintic and soporific properties. Seeds also used in diarrhoea and rickets and parasitic skin troubles and has purgative action,Quisqualis_indica_L..jpg
Radermachera xylocarpa (Roxb.) K.Schum.,BIGNONIACEAE,Kharsing,Resin extracted from wood is used to treat skin troubles.,Radermachera_xylocarpa_Roxb._K.Schum..jpg
Randia cochinchinensis (Lour.) Merr.,RUBIACEAE,Dieng-iong-blei (Khasi Hills),Decoction of roots are used for treating bowel complaints.,Randia_cochinchinensis_Lour._Merr..jpg
Randia longiflora Lam.,RUBIACEAE,Pulikaint (Assam),Berries are used for medicinal purpose.,Randia_longiflora_Lam..jpg
Randia tomentosa Hook.f.,RUBIACEAE,Mainphal,"They are emetic and used as a substitute for Ipecacuanha (Cephaelis ipecacuanha A. Rich.).
 In small doses, it is  expectorant and diaphoretic.  Bark is astringent .Bark is given in treatment of 
diarrhea and dysentery.Infusion is used as an emetic. Bark is a sedative and is used to relieve pains due 
to bruises, and bone-ache during fever. It is also given internally and used externally as an anodyne in 
treatment of  rheumatism.",Randia_tomentosa_Hook.f..jpg
Ranunculus aquatilis L.,RANUNCULACEAE,Water-Crowfoot (Eng.),"Used in treating asthma, intermittent fevers and rheumatism.",Ranunculus_aquatilis_L..jpg
Ranunculus arvensis L.,RANUNCULACEAE,Chambul (Punjab),"Useful in gout, intermittent fevers,  asthma,have antibiotic activity; active principles protoanemonin and ranunculin have been isolatedfrom it.",Ranunculus_arvensis_L..jpg
Ranunculus cantoniensis DC.,RANUNCULACEAE,Chinese Buttercup (Eng.),Applied as a vesicant. Posesantibacterial activity.,Ranunculus_cantoniensis_DC..jpg
Ranunculus lingua L.,RANUNCULACEAE,Great Spearwort (Eng.),"Leaves applied as a vesicant in rheumatism of the joints. Herb causes irritation of the mucous membrane and inflammation of intestinal tract in livestock; the toxicity, however, is lost on drying. Protoanemonine is the toxic principle.",Ranunculus_lingua_L..jpg
Ranunculus muricatus L.,RANUNCULACEAE,Rough-fruited Buttercup (Eng.),"Useful in gout, intermittent fever and asthma.",Ranunculus_muricatus_L..jpg
Ranunculus sceleratus L.,RANUNCULACEAE,Jaldhania,"Plant used as stimulant and diuretic. Juice useful in sciatica, rheumatism, dysuria, asthma, pneumonia and gripe. Drug used as  vermifuge and in cutaneous disorders. Seeds prescribed as a tonic and stomachic also used in kidney troubles.",Ranunculus_sceleratus_L..jpg
Raphanus sativus L.,BRASSICACEAE,"Muli, Muri","Roots applied as a diuretic in urinary troubles, piles, and gastrodynia. Juice of fresh leaves diuretic and laxative. Seeds expectorant, diuretic, and carminative.",Raphanus_sativus_L..jpg
Rauvolfia sarpentina (L.) Benth. ex Kurz,APOCYNACEAE,"Chandrabhaga, Chota chand","Roots constitute the drug Rauvolfia which is used for the treatment of  nervous disorders including anxiety states, excitement, maniacal behaviour associated with psychosis, schizophrenia, insanity, insomnia, and epilepsy. Extracts of the roots is used  for intestinal troubles. Roots are used to stimulate uterine contraction and in cases of difficult delivery. Juice of the leaves are used  for clearing the torneal  opacity. Rauvolfia and its preparati",Rauvolfia_sarpentina_L._Benth._ex_Kurz.jpg
Rauvolfia tetraphylla L.,APOCYNACEAE,Barachandrika,Extract of the herb is  mixed with castor oil  and is applied to treat skin ailments.,Rauvolfia_tetraphylla_L..jpg
Reinwardtia indica Dumort.,LINACEAE,Basanthi,Used in treating paralysis. It is also used for the treatment of founder disease of cattle. Crushed leaves and stems are given to maggot infested wounds.,Reinwardtia_indica_Dumort..jpg
Reissantia indica (Willd.) Halle,HIPPOCRATEACEAE,Atari-lata (Beng.),Root bark used for the treatment of respiratory troubles. Stem febrifuge. Leaves scorched and given to women during confinement. Powdered leaves and roots are applied to sores and wounds.,Reissantia_indica_Willd._Halle.jpg
Remusatia vivipara (Roxb.) Schott,ARACEAE,Rukhalu,The ointment made from roots and turmeric used in itching. Juice alexipharmac.,Remusatia_vivipara_Roxb._Schott.jpg
Reseda odorata L.,RESEDACEAE,Mignonette (Eng.),"Roots useful as a laxative, diuretic, diaphoretic. Seeds applied externally as a resolvent",Reseda_odorata_L..jpg
Rhamnus nepalensis (Wall.) M.A.Lawson,RHAMNACEAE,Biringa (Assam),The fruit  is used for treatment of herpes.,Rhamnus_nepalensis_Wall._M.A.Lawson.jpg
Rhamnus purpureus Edgew.,RHAMNACEAE,Purple Buckthorn (Eng.),Fruit is used as a purgative.,Rhamnus_purpureus_Edgew..jpg
Rhamnus triquetra Wall. ex Roxb.,RHAMNACEAE,"Gudlei, Fagora (Punjab)","The bark is used as a tonic, astringent and deobstruent.",Rhamnus_triquetra_Wall._ex_Roxb..jpg
Rhamnus virgatus Roxb.,RHAMNACEAE,"Chato, Chadua","Fruit emetic and purgative, used in spleen infections.",Rhamnus_virgatus_Roxb..jpg
Rhamnus wightii Wight & Arn.,RHAMNACEAE,Wight's Buckthorn (Eng.),"Bark use as tonic, astringent, and deobstruent.",Rhamnus_wightii_Wight_&_Arn..jpg
Rheum emodi Wall. ex Meissn.,POLYGONACEAE,Hindirevandchini,"Dried rhizomes and roots are useful as a purgative and astringent tonic; its stimulating effect combined with aperient properties renders it especially useful in a tonic dyspepsia. Its use is prohibited for patients suffering from gout, rheumatism, epilepsy, and uric acid troubles. Powdered roots used for cleaning teeth, also sprinkled over ulcers. Leaf stalks have a purgative action.",Rheum_emodi_Wall._ex_Meissn..jpg
Rheum spiciforme Royle,POLYGONACEAE,Archu (Garhwal),Roots are purgative.,Rheum_spiciforme_Royle.jpg
Rheum webbianum Royle,POLYGONACEAE,Archu (Garhwal),"Rhizomes are bitter, astringent and purgative.",Rheum_webbianum_Royle.jpg
Rhinacanthus nasuta (L.) Kurz,ACANTHACEAE,Palak juhi,"Fresh leaves used against eczema, ringworm and cancer.",Rhinacanthus_nasuta_L._Kurz.jpg
Rhizophora mucronata Lam.,RHIZOPHORACEAE,"Kamo, Bhora (Beng.)","Bark is  astringent and is  used in  treatment of hemorrhages, hematuria and angina. It is also used for
 treatment of diabetes.",Rhizophora_mucronata_Lam..jpg
Rhodamnia trinervia Blume,MYRTACEAE,Brown Mallet-Wood (Eng.),Root and leaf decoction is used after parturition. Shoots are applied to scalds. Fruit decoction is used in case of gum troubles,Rhodamnia_trinervia_Blume.jpg
Rhododendron anthopogon D.Don,ERICACEAE,Nichni (Punjab),Yields an incense. Leaves are stimulant.,Rhododendron_anthopogon_D.Don.jpg
Rhododendron arboreum Sm.,ERICACEAE,Burans,A sub-acidic jelly or preserve is made from the petals also used in diarrhoea and dysentery.,Rhododendron_arboreum_Sm..jpg
Rhododendron campanulatum D.Don,ERICACEAE,Cherailu,"Leaves are used in chronic rheumatism, syphilis and sciatica. They are mixed  with tobacco and used as snuff to cure bemicrania and colds.",Rhododendron_campanulatum_D.Don.jpg
Rhododendron lepidotum Wall. ex G.Don,ERICACEAE,Talisfur (Punjab),Leaves are used as stimulant.,Rhododendron_lepidotum_Wall._ex_G.Don.jpg
Rhododendron setosum D.Don,ERICACEAE,Tsalluo (Bhutan),Leaves are used as stimulant.,Rhododendron_setosum_D.Don.jpg
Rhodomyrtus tomentosa Wight,MYRTACEAE,Kattupera (Malayalam),Fruits given in diarrhoea and dysentery. Root decoction prescribed for diarrhoea and stomach-ache.,Rhodomyrtus_tomentosa_Wight.jpg
Rhus coriaria L.,ANACARDIACEAE,Sicilian Sumac (Eng.),"Leaves and seeds astringent, styptic.",Rhus_coriaria_L..jpg
Rhus hookeri K.C.Sahni & Bahadur,ANACARDIACEAE,Momphulai (Beng.),"Galls on the branch are astringent, tonic, expectorant, and stimulant, used in diarrhoea and dysentery. Extract of leaves shows anti-cancer and anti-viral action. Juice powerful vesicant; also used in colic.",Rhus_hookeri_K.C.Sahni_&_Bahadur.jpg
Rhus javanica L.,ANACARDIACEAE,Nutgall tree (Eng.),"Galls used in ointments and suppositories employed in
the treatment of haemorrhoids,
swellings and wounds. Fruits
used for colic, diarrhoea and dysentery.",Rhus_javanica_L..jpg
Rhus parviflora Roxb. ex DC.,ANACARDIACEAE,"Tung, Raitung","The root bark is used for irritable bladder, bed-wetting
and urinary incontinence.",Rhus_parviflora_Roxb._ex_DC..jpg
Rhus punjabensis J.L.Stew. ex Brand.,ANACARDIACEAE,Dor (Punjab),Leaves contain tannin. Juice from the tree is a vesicant.,Rhus_punjabensis_J.L.Stew._ex_Brand..jpg
Rhus succedanea L.,ANACARDIACEAE,Kakra-singi,"Thorn-like excrescences on the branches used in diarrhoea, dysentery and vomiting. Fruits used as an adjuvant in tuberculosis.",Rhus_succedanea_L..jpg
Rhynchosia minima (L.) DC.,FABACEAE,Daktaranghevda (Mar.),"Leaves used as an abortifacient. Toxic to fish. Seeds poisonous, extract shows specific agglutinating activity with
certain types of red blood cells.",Rhynchosia_minima_L._DC..jpg
Rhynchostylis retusa (L.) Blume,ORCHIDACEAE,Draupadi mala,Used as an skin emollient.,Rhynchostylis_retusa_L._Blume.jpg
Ribes alpestre Wall. ex Decne.,GROSSULARIACEAE,Amlanch (Punjab),Branches are Used as symbol in religious rites. No medicinal use has been found in the available literature.,Ribes_alpestre_Wall._ex_Decne..jpg
Ribes orientalis Desf.,GROSSULARIACEAE,Askuta (Ladakh),Fruits are purgative in nature.,Ribes_orientalis_Desf..jpg
Ricinus communis L.,EUPHORBIACEAE,Erandi,The poultice of leaves are applied for boils and sores. The decoction of roots is prescribed for lumbago.,Ricinus_communis_L..jpg
Rivea ornata (Roxb.) Choisy.,CONVOLVULACEAE,Phanji (Sans.),Juice used in piles and phthiriasis treatment,Rivea_ornata_Roxb._Choisy..jpg
Rorippa indica (L.) Hiern,BRASSICACEAE,Chamsuru,"Herb diuretic stimulant and antiscorbutic. Useful in diarrhoea, dysentery and fevers. Seeds applied as laxative, used in asthma.",Rorippa_indica_L._Hiern.jpg
Rorippa islandica (Oeder) Borbás,BRASSICACEAE,Yellow marshcress (Eng.),"Herb antiscorbutic, tonic,stimulant, diuretic, deobstruent, hepatic and stomachic.",Rorippa_islandica_Oeder_Borbás.jpg
Rorippa nasturtium-aquaticum (L.) Hayek,BRASSICACEAE,"Chhuch, Jal-indushoor","Herb diuretic stimulant and antiscorbutic. Useful in diarrhoea, dysentery and fevers. Seeds applied as laxative, used in asthma.",Rorippa_nasturtium-aquaticum_L._Hayek.jpg
Rosa banksiae R.Br.,ROSACEAE,Bank's Rose,Root is used as a tonic and has anthelmintic properties.,Rosa_banksiae_R.Br..jpg
Rosa brunonii Lindl.,ROSACEAE,"Kuji, Kunja",Root used in treatment of eye infections.,Rosa_brunonii_Lindl..jpg
Rosa centifolia L.,ROSACEAE,Gulab,"Flower decoction used in treatment of ulcers, haemorrhages and diarrhoea",Rosa_centifolia_L..jpg
Rosa damascena Mill.,ROSACEAE,Fasli Gulab,Tonic obtained from flowers are used in cardiac troubles and enlarged tonsils.,Rosa_damascena_Mill..jpg
Rosa multiflora Thunb.,ROSACEAE,Multiflora Rose (Eng.),Fruits are cathartic and used for treatment of ulcers.,Rosa_multiflora_Thunb..jpg
Roscoea purpurea Sm.,ZINGIBERACEAE,Rasagaree (Nepali),Dried leaves and flower-buds are used in medicine.,Roscoea_purpurea_Sm..jpg
Rosmarinus officinalis L.,LAMIACEAE,Rusmari,It has carminative properties and acts as a cardiac stimulant.,Rosmarinus_officinalis_L..jpg
Rotula aquatica Lour.,BORAGINACEAE,Sherni (Mar.),"Decoction of roots are used as diuretic and laxative and used for treatment of piles,
stones in bladder and venereal diseases.",Rotula_aquatica_Lour..jpg
Roylea cineria (D.Don) Baill.,LAMIACEAE,Patkarru,"The plant produces a medicine used for purification of blood, fever, pimples.",Roylea_cineria_D.Don_Baill..jpg
Rubia cordifolia L.,RUBIACEAE,"Manjit, Manjitha","Root extract are antidysenteric and antiseptic in nature. Leaf and stem decoction is used as vermifuge and is also a constituent of the drug septilin, which is used for rhinosinal infections.",Rubia_cordifolia_L..jpg
Rubia tinctorum L.,RUBIACEAE,Bacho (Punjab),"Roots are astringent, tonic, diuretic, and lithontriptic. It is  used  in treatment of  diseases of liver, 
gall bladder ,spleen ,arthritis and bed sores.",Rubia_tinctorum_L..jpg
Rubus moluccanus L.,ROSACEAE,Katsoi (Kumaun),Fruit juice used in treatment of fistula.,Rubus_moluccanus_L..jpg
Rumex acetosa L.,POLYGONACEAE,Khatta palak,Herb has antiscorbutic property (vitamin C 124 mg/100 g). It is also useful in bronchial diseases and in homoeopathy for skin related troubles and convulsions. Leaves are used as refrigerant and diuretic. Leaves are used for cutaneous tumours. Infusions of roots are used as a diuretic and for skin troubles. Root powder used in diarrhoea.,Rumex_acetosa_L..jpg
Rumex acetosella L.,POLYGONACEAE,Chuk,"Leaves are useful in cancer and other tumours. Fresh plant juice is refrigerant, diaphoretic, diuretic, and antiscorbutic. Total ascorbic acid content of leaves varies from 750-1200 mg/100 g on dry weight basis. Young leaves contain maximum amount of ascorbic acid and the free ascorbic acid content (50-150 mg/lOOg) remains constant throughout the year.",Rumex_acetosella_L..jpg
Rumex crispus L.,POLYGONACEAE,Yellow Dock (Eng.),Root is purgative. Seeds are applied in diarrhoea.,Rumex_crispus_L..jpg
Rumex dentatus L.,POLYGONACEAE,"Ambavah, Amrule","Leaves are rich source of calcium (612 mg/100 g),p- carotene, vitamin A (11,700 I. U./I00 g), and vitamin C (115 mg/ 100 g). Roots used in cutaneous disorders",Rumex_dentatus_L..jpg
Rumex maritimus L.,POLYGONACEAE,"Jub-palum, Jungli palak","Plants are used as refrigerant,  also used as antipruritic. Leaves are cathartic, also applied to urns.",Rumex_maritimus_L..jpg
Rumex nepalensis Spreng.,POLYGONACEAE,Pahari palang,Infusion of leaves are given in colic and given to syphilitic ulcers; strong decoction useful for bilharziasis. Leaves give relief from irritation caused by stinging nettle.,Rumex_nepalensis_Spreng..jpg
